Classifier,5px_Acc%,15px_Acc%,25px_Acc%,35px_Acc%,45px_Acc%,5px_ROC%,15px_ROC%,25px_ROC%,35px_ROC%,45px_ROC%
GradientBoosting,84.6667,82,82,82,82,81.5111,80.2667,80.2667,80.2667,80.2667
ExtraTrees,81.3333,80,80,70,70,70.9778,70.8,70.8,71.8,71.8
