Classifier,5px_Acc%,5px_ROC%,15px_Acc%,15px_ROC%,25px_Acc%,25px_ROC%,35px_Acc%,35px_ROC%,45px_Acc%,45px_ROC%
GradientBoosting,80,70.11904762,84,83.7202381,88,82.5,88,82.5,88,82.5
ExtraTrees,74,81.48809524,84,91.2202381,76,86.19047619,76,86.19047619,76,86.19047619
